,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
81,"McLean, VA",Capital One,"Assessing the methodologies and processes used by modeling teams to develop and manage their models, and identifying potential risk and the associated...",82bc9441ff8f926c,Quantitative Principal Analyst – Model Validation,,44.4,2904,9 days,2016-10-17 21:32:25.026828
82,"Arlington, VA",Booz Allen Hamilton,"Impact the nation's investment in technology development, through the advancement of machine learning algorithms, artificial neural networks, and machine...",8f4f2a7c861f65da,"Machine Learning Technology Consultant, Mid",,44.4,946,15 days,2016-10-17 21:32:25.026828
83,"Washington, DC",Tahzoo,"Perform intermediate statistical analysis on field/interview data (includes frequencies, means, correlations, statistical significance testing, understand...",053d22349fc787a3,Senior Data Scientist (Business Intelligence Analyst),,,,10 days,2016-10-17 21:32:25.026828
84,"Washington, DC 20036 (Downtown area)",The Rock Creek Group,"Experience working with raw and/or unstructured data sets – using script and other machine learnings tools to extract insights, understand trend inflections and...",f2b7c9e8283708ee,Data Scientist Intern,,,,30+ days,2016-10-17 21:32:25.026828
85,"Alexandria, VA 22314 (Southwest Quadrant area)",Grant Thornton,"MATLAB, SAS, R, SPSS, SQL, python, data visualization tools. Scientist to join its Alexandria Data Analytics practice area and take an....",119ac529c5a63f68,Data Scientist,,44.4,212,30+ days,2016-10-17 21:32:25.026828
86,"Washington, DC",GEICO,"Coordinate project teams of Data Scientists and act as a primary point of contact in delivering innovative, high-quality data products with measurable business...",aa09e213659acc2b,Lead Data Scientist,,42.6,1432,7 days,2016-10-17 21:32:25.026828
87,"Arlington, VA",SapientNitro,"Senior Associate, Data Scientist, Advanced Analytics. Guide and lead the evolution of internal project teams as they transition from traditional solution...",bc30fee7cabd4436,"Senior Associate, Data Scientist, Advanced Analytics",,42.6,25,30+ days,2016-10-17 21:32:25.026828
88,"McLean, VA",Vencore,"Research pertinent literature in a designed project area and analyze applicability of concepts, cost/benefit analysis, and applicable methods....",d44197a5aaf6727f,Statistician I,,42.0,43,7 days,2016-10-17 21:32:25.026828
89,"College Park, MD","Riverside Technology, inc.",Riverside is seeking a Scientific Programmer to work on the Joint Effort for Data assimilation Integration (JEDI) in support of the U.S....,a66bf956ac0724aa,Scientific Programmer,,,,25 days,2016-10-17 21:32:25.026828
90,"Washington, DC",DigitalGlobe,"All-Source Geospatial Data Scientist. Candidates should draw from the fields of GIS, statistics, machine learning and/or predictive analytics....",165e094cc0f8e8b3,All-Source Geospatial Data Scientist,,43.2,52,10 days,2016-10-17 21:32:25.026828
