,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
82,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,"Job Duties Plans, organizes, coordinates, directs, and personally participates in assigned scientific or medical research project....",2edaafbc9ce6ce15,Research Scientist - Obstetrics & Gynecology,,43.8,202,30+ days,2016-10-17 21:38:15.093162
83,"Dallas-Fort Worth, TX",Sabre,"Hire and manage a global team of Data Scientists. Experience leading machine learning, statistical modeling & data mining teams....",358315e0967976d8,"Director, Data Science & Innovation",,43.8,137,30+ days,2016-10-17 21:38:15.093162
84,"Plano, TX",Capital One,Integrating internal data sources with external data sources and APIs to discover interesting trends (NOAA Weather Data + Credit Card Transactions = Fascinating...,4d860bef470fcd7d,Data Scientist,,44.4,2904,30+ days,2016-10-17 21:38:15.093162
85,"Dallas, TX",Novella Clinical,"Input to project timelines, and ensure that project timelines are met for both. ICH, and FDA guidelines and regulations applicable to conduct clinical....",ae51e2889ceaee17,Sr. Statistical Programmer,,43.8,19,30+ days,2016-10-17 21:38:15.093162
86,"Richardson, TX","BLU Ampersand, Inc",Publication review and analysis of clinical trial data. Visualization and organization of key data into defined templates....,41bf5dc326e74759,Research Analyst - Oncology,,,,30+ days,2016-10-17 21:38:15.093162
87,"Richardson, TX",BOEING,Skilled scientists and thinkers. Applicant will be supporting a technical program and will be supporting engineering and scientific personell....,26f49640c41a9a8e,Versatile Technologist,,51.6,2926,11 days,2016-10-17 21:38:15.093162
88,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,"Plans, coordinates, schedules and prepares materials for project meetings, including staff meetings and advisory committee meetings....",79ec06fc54aa7b4c,Research Enrollment Analyst,,43.8,205,30+ days,2016-10-17 21:38:15.093162
89,"Coppell, TX 75019",Coppell ISD,Have proficient skills in basic data analysis. To assist the District with data analysis and program evaluation....,cc71201637051511,Coordinator of Data Systems and Program Analysis,"$56,242 - $80,933 a year",54.6,9,19 days,2016-10-17 21:38:15.093162
90,"Dallas, TX",All-In Analytics,"Senior Marketing Data Scientist. Working knowledge of applications such as R, SAS, SQL, Google Analytics, Tableau or Qlik, Alteryx, and Microsoft Access and...",c5cb3a3b8a1cdb09,Senior Marketing Data Scientist,"$80,000 - $100,000 a year",,,30+ days,2016-10-17 21:38:15.093162
91,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,Is recognized as a knowledgeable individual and subject matter expert in research finance. Strong initiative and ability to manage multiple projects....,f401b996dd66c5a6,Research Financial Analyst II,,43.8,205,15 days,2016-10-17 21:38:15.093162
92,"Plano, TX",Capital One,"Work with top talent in a fast paced, entrepreneurial environment where analytics and good data are a top priority. Data Analysis Manager....",e7dcb3467e1ca7ac,Data Analysis Manager,,44.4,2904,30+ days,2016-10-17 21:38:15.093162
93,"Plano, TX",AT&T,Data Analytics or Machine Learning nanodegree; We need people who have the capacity to identify problem spaces where Machine Learning has never been applied...,4fdd451e45c04f07,Senior Data Scientist BIG DATA,,44.4,14297,30+ days,2016-10-17 21:38:15.093162
94,"Las Colinas, TX",CoroWare,"Whether working on the cloud with Azure Analytics, Machine learning or on premise using Microsoft R Server, we assist the customers to help them successfully...",7d44b81b0315a370,Support Engineer - Big Data & Statistical Analysis,,,,23 days,2016-10-17 21:38:15.093162
95,"Plano, TX",Lighthouse Recruiting,"Join our Medical Laboratory Scientists Groups:. The Laboratorian features a list of open clinical lab jobs, the latest industry news, salary information,...",370f574578b72c2f,"Genetic Counselor, Clinical Genomics","$80,000 - $110,000 a year",,,14 days,2016-10-17 21:38:15.093162
96,"Addison, TX 75001",R&D Product Development,"May oversee outside vendor testing or conduct clinical safety testing. Must have ability to apply standard scientific principles, concepts and techniques to...",325f40c49df790e0,Scientist Product Safety,,,,30+ days,2016-10-17 21:38:15.093162
97,"Dallas, TX",BOEING,"Skilled scientists and thinkers. A technical degree is defined as any four year degree, or greater, in a mathematic, scientific or information technology field...",b9b80c380b535ad7,Cyber Security Specialist,,51.6,2926,5 days,2016-10-17 21:38:15.093162
98,"Dallas, TX",Infor,Works with cross-functional teams to manage client engagements and deliverables. Developing and driving strategies for integrating needs of HCM clients...,b5cff654f56c953c,Behavioral Scientist,,42.6,61,3 days,2016-10-17 21:38:15.093162
99,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,"Job Duties Plans, organizes, coordinates, directs and personally participates in major medical or scientific research projects, including development and...",d3ec227d11316f21,Sr. Research Scientist - Green Center for Systems Biology,,43.8,202,13 days,2016-10-17 21:38:15.093162
100,"Irving, TX 75039",Princeton Information Ltd,"You get to work alongside data scientists, architects and forward-thinking business partners by providing services that enable solutions around data collection,...",a859779a1c3b9859,Real-Time Streaming Analytics Senior Engineer,,42.6,19,30+ days,2016-10-17 21:38:15.093162
101,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,"Job Duties Plans, organizes, coordinates, directs, and personally participates in assigned scientific or medical research project....",92800446dad039de,Research Scientist - The Advanced Imaging Research Center,,43.8,202,30+ days,2016-10-17 21:38:15.093162
102,"Plano, TX",PepsiCo,"Most specifically, this scientist will design, lead and report front end research to provide project- grounding, consumer-centric technical recommendations to...",e373126fc2e4ef56,"R&D Qualitative Sensory Scientist, Plano",,44.4,5094,18 days,2016-10-17 21:38:15.093162
103,"Irving, TX 75038","ATR International, Inc.",This position requires knowledge of clinical instrumentation as well as software testing. Works with diagnostic instrumentation to perform software verification...,81a1b7602e30eda3,Associate Scientist,,52.800003,16,25 days,2016-10-17 21:38:15.093162
104,"Irving, TX",Citi,"You will lead a team of talented engineers to enhance a highly scalable, fault tolerant, and responsive real-time platform with next generation streaming data...",2b265e347c5354d1,Big Data Real-Time Streaming Analytics Senior Engineer,,44.4,7977,30+ days,2016-10-17 21:38:15.093162
105,"Irving, TX 75038","ATR International, Inc.",Provide medical and clinical input for product development as part of the R& D cross functional teams for Clinical Chemistry assays....,a16edbe1e85cd08f,Sr. Scientist,,52.800003,16,7 days,2016-10-17 21:38:15.093162
106,"Plano, TX",Lifetime Fitness,Experience tracking statistical data for basketball games. Track all relevant statistics during games. Work closely with League Coordinator to ensure member...,7e67a545e38e6d5a,Ultimate Hoops Statistician,,42.6,752,30+ days,2016-10-17 21:38:15.093162
107,"Dallas, TX",Analytic Recruiting,"This candidate will have an advanced quantitative degree, (PhD preferred), 5-10 years of statistical modeling (SAS, SQL and R) experience with a major financial...",eb631a53c129c31d,Quantitative Model Manager Statistical Models - Credit Risk,,51.0,2,11 days,2016-10-17 21:38:15.093162
108,"Dallas, TX",Federal Reserve Bank of Dallas,Conducts data and information searches and assembles data or directs people to appropriate internet resources to fulfill requests....,51031cccbf765d3c,Research Analyst (Energy),,51.6,314,30+ days,2016-10-17 21:38:15.093162
109,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,"Salary Salary Negotiable. Security This position is security-sensitive and subject to Texas Education Code 51.215, which authorizes UT Southwestern to obtain...",a07a2d8545e2c2df,Financial Analyst I - Children's Research Institute,,43.8,202,6 hours,2016-10-17 21:38:15.093162
110,"Dallas, TX",Post Holdings,By in-house sports nutrition and food scientists. Directly manage stakeholder relationships and communicate regularly with senior management regarding major...,10d82f20182cf157,SR Accounting Manager,,51.0,26,7 days,2016-10-17 21:38:15.093162
111,"Dallas, TX",Cushman & Wakefield,"Publications to include quarterly MarketBeat, submarket reports and other C&W publications as well as client pitchesAssist as needed on regional and national...",680017bf5bf43761,Research Analyst,,51.0,74,30+ days,2016-10-17 21:38:15.093162
