,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
158,"Denver, CO 80265 (LoDo area)",Merkle Inc.,"The successful candidate will be able to display thought leadership, technical prowess, and the ability to manage cross-division, cross-functional teams from...",b9c33fb786d4a56b,"Sr. Solution Developer, Senior Analyst",,42.0,2,30+ days,2016-10-17 21:34:50.519659
159,"Boulder, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",448ca0341f69a69c,Senior Radiation Effects Engineer (659716) - Security cleara...,,43.2,35,11 days,2016-10-17 21:34:50.519659
160,"Westminster, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",cc8948ec2ed66f60,Systems Administrator II (659466),,43.2,35,30+ days,2016-10-17 21:34:50.519659
161,"Boulder, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",e329e848389f9775,Technical Intern-Quality Assurance (659559),,43.2,35,30+ days,2016-10-17 21:34:50.519659
162,"Denver, CO 80204 (Central West Denver area)",Denver Health,"The Denver Health system includes the Rocky Mountain Regional Level I Trauma Center, a 525-bed acute care medical center, Denver’s 911 emergency medical...",679c3c4f32de08a5,Business Manager - RADARS,"$88,091 a year",42.0,88,30+ days,2016-10-17 21:34:50.519659
163,"Boulder, CO",National Ecological Observatory Network Inc,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers...",46481ca74e019298,Postdoctoral Scientist-Micrometeorologist_Flux Uncertainty,,,,30+ days,2016-10-17 21:34:50.519659
164,"Boulder, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",1ff89f9330ad4942,Technical Intern-Software (659519),,43.2,35,30+ days,2016-10-17 21:34:50.519659
165,"Centennial, CO",Rincon Research Corporation,"Rincon Research Corporation (RRC), an employee owned company, is seeking a talented, tenacious, results driven individual to work in a multi-disciplinary R&D...",60d1d2ae7b713e54,Geolocation Engineer,,,,30+ days,2016-10-17 21:34:50.519659
166,"Broomfield, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",aca3827b9f062aa4,In-Process Inspector Lead - Tactical Solutions (659031),,43.2,35,30+ days,2016-10-17 21:34:50.519659
167,"Louisville, CO","WhiteWave Foods, Inc.","Four (4) Direct Reports-Quality Scientists, Lab Supervisor & Two (2) Indirect reports-Lab technicians reporting to the Lab Supervisor....",229ab4f0069de66c,"Manager, Laboratory Operations",,,,30+ days,2016-10-17 21:34:50.519659
168,"Westminster, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",7a2b64b105370e6d,Senior Phased Array Circuit Design Engineer (658337),,43.2,35,30+ days,2016-10-17 21:34:50.519659
169,"Louisville, CO","WhiteWave Foods, Inc.","Ability to understand and perform data analysis/ Excellent record keeping/documentation. Write project reports, executive summaries and customer final reports....",3d125265e7483628,Scientist - Food Quality,,,,24 days,2016-10-17 21:34:50.519659
170,"Denver, CO",Honeywell,"Experience with creating stored SQL procedures. MS SharePoint data management experience. Accessibility and reporting, data integration and conversion, enhanced...",917feae78820c2fd,"Computer Scientist/Systems Analyst, (Software Engineer Senio...",,44.4,3477,30+ days,2016-10-17 21:34:50.519659
171,"Westminster, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",1a21e3551494ed71,Production Control Center Senior Planner Scheduler (659431),,43.2,35,30+ days,2016-10-17 21:34:50.519659
172,"Highlands Ranch, CO",Arcadis:US,"Successful candidate will assist Engineers, Scientists, and Project Managers with tasks associated with various subsurface investigation, remediation, and...",14b4d3c6808d1ee5,GIS Specialist,,,,4 days,2016-10-17 21:34:50.519659
173,"Boulder, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",86f0418d966cf2c1,Engineer Associate - Manufacturing (659757),,43.2,35,4 days,2016-10-17 21:34:50.519659
174,"Boulder, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",45fce0a08e259ec5,Technician II-Test (658457),,43.2,35,6 days,2016-10-17 21:34:50.519659
175,"Boulder, CO",National Ecological Observatory Network Inc,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers...",ac80e6e21588b832,Field Installation Technician,,,,16 days,2016-10-17 21:34:50.519659
176,"Golden, CO",xentity corporation,"Familiarity with technical design methods such as applicable scientific paradigms, engineering protocols and practices , enterprise, segment, and solution...",748eb49e95e5f066,Government Services Solution Architect,,,,30+ days,2016-10-17 21:34:50.519659
177,"Boulder, CO",CordenPharma,Networks with scientists and engineers within the larger Oligonucleotide community regarding research and prepares technical papers and reports as needed....,fd507b7dca51b675,Distinguished Scientist - Oligonucleotide,,,,30+ days,2016-10-17 21:34:50.519659
178,"Lafayette, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",ba59395dc6951bce,Web Application/Oracle Database Developer I (659473),,43.2,35,30+ days,2016-10-17 21:34:50.519659
179,"Denver, CO",BiggerPockets Inc.,"We are part scientists and part creatives. Demonstrable experience in marketing data analytics and tools. Google Analytics, Amplitude, Intercom.io, Optimizely,...",fdf7db3878c02b56,Digital Marketing Coordinator,,,,30+ days,2016-10-17 21:34:50.519659
180,"Lafayette, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",c3bf6baf80979ea2,Enterprise Solutions Architect I-Infrastructure (659588),,43.2,35,14 days,2016-10-17 21:34:50.519659
181,"Boulder, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",61c90bbe4ebc0457,Machinist Prototype-Senior (659404),,43.2,35,30+ days,2016-10-17 21:34:50.519659
182,"Aurora, CO",Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",8b19b0ab7c2203f8,Systems Administrator Associate (658680) - Security Clearanc...,,43.2,35,30+ days,2016-10-17 21:34:50.519659
